,epoch,batch,loss,acc,f1,recall,roll_730_acc,roll_730_loss,roll_180_acc,roll_180_loss
1904,9,113,0.3630894056537695,0.8925,0.8925,0.8925,0.8513287671232846,0.37248728581135554,0.8557638888888904,0.3661114823717843
1905,9,114,0.3632162915623706,0.855,0.855,0.855,0.851363013698627,0.37243159741290355,0.8557916666666682,0.36606964045205903
1906,9,115,0.36319924634078454,0.8525,0.8525,0.8525,0.8514143835616406,0.3723757570404094,0.8555416666666681,0.3660293467419132
1907,9,116,0.36367942915003526,0.8425,0.8425,0.8425,0.8514178082191748,0.3723207112016228,0.8555000000000015,0.36599037142396784
1908,9,117,0.3634038779695155,0.875,0.875,0.875,0.8515034246575309,0.3722651412663374,0.8558888888888904,0.3659472338101485
1909,9,118,0.3634267454387761,0.8525,0.8525,0.8525,0.851520547945202,0.37220962633944943,0.8558888888888904,0.365903896020773
1910,9,119,0.3637751984099547,0.835,0.835,0.835,0.8515136986301336,0.37215456247827944,0.855944444444446,0.36586046307262055
1911,9,120,0.3637778687575632,0.85,0.85,0.85,0.8515547945205445,0.3720992990783112,0.8557916666666682,0.36581818810276445
1912,9,121,0.3639767636529735,0.865,0.865,0.865,0.8516095890410924,0.37204424288863175,0.8557777777777793,0.3657783432980791
1913,9,122,0.36427187628862334,0.825,0.825,0.825,0.8515993150684897,0.37198920539685404,0.8556944444444459,0.36573978523660267
1914,9,123,0.3642220751893136,0.8625,0.8625,0.8625,0.8516369863013663,0.3719340006838918,0.8556111111111127,0.36570156825308325
1915,9,124,0.3643706352710724,0.845,0.845,0.845,0.8516267123287637,0.37187918014727034,0.855569444444446,0.3656627896705368
1916,9,125,0.3643327284426916,0.87,0.87,0.87,0.8516678082191746,0.37182422850793595,0.8556666666666684,0.3656224395794404
1917,9,126,0.3642932920474706,0.8675,0.8675,0.8675,0.8516917808219142,0.3717692486231998,0.8557361111111128,0.36558181229877934
1918,9,127,0.36439971602521837,0.85,0.85,0.85,0.8516917808219142,0.37171446828407173,0.8559305555555573,0.3655393621369769
1919,9,128,0.36432087721750717,0.875,0.875,0.875,0.8517636986301335,0.3716591809300975,0.8561527777777794,0.3654951165418194
1920,9,129,0.36461009291502144,0.8625,0.8625,0.8625,0.8517671232876676,0.3716046943344116,0.8562083333333351,0.3654524769055275
1921,9,130,0.364724203147961,0.865,0.865,0.865,0.851787671232873,0.3715504191657821,0.8562500000000018,0.36541048351819966
1922,9,131,0.36472465684919647,0.8675,0.8675,0.8675,0.8518219178082155,0.3714961070598514,0.8563472222222241,0.36536722701000346
1923,9,132,0.3649321391170186,0.845,0.845,0.845,0.851815068493147,0.3714421857470205,0.8562500000000018,0.3653250723572841
1924,9,133,0.3648081759908306,0.8675,0.8675,0.8675,0.8518527397260236,0.37141694567577316,0.8564444444444463,0.36528068802752217
1925,9,134,0.36458669393150894,0.8775,0.8775,0.8775,0.8518356164383525,0.37142345111162656,0.8566250000000019,0.3652348636026524
1926,9,135,0.3653816883178318,0.81,0.81,0.81,0.8518013698630099,0.37141353926805176,0.856361111111113,0.3651934348124396
